SiteID,Below_Capacity,Over_Capacity,Min_IQR_Upper_Bound_Value,Max_Value_95Perc,Average_Rate_Of_Change,Unusual_Change_90th_Perc.,MaxRoC,Unusual_Spike,Repeated_values,Unnamed: 10
1883,0.0,309.0,355.0,309.0,9.94238929,39.000021,1500.0,39.000021,4,
1901,0.0,3216.5,3216.5,3375.7,118.0896904,547.05,4466.0,547.05,4,
1928,0.0,1736.8,3292.68,1736.8,51.03527643,170.0,1970.0,170.0,4,
1930,0.0,52650.0,82214.1625,52650.0,261.4254855,794.75,41371.0,794.75,4,
1931,0.0,69807.45,106523.67,69807.45,366.6542477,851.0,100000.0,851.0,4,
1932,0.0,225400.0,316212.5,225400.0,671.9268317,1799.96875,162970.0,1799.96875,4,
2150,0.0,20.9700525,20.9700525,22.1,2.050092782,9.0,222.0,9.0,4,
2172,0.0,30.0,36.940875,30.0,0.475357806,2.0,54.0,2.0,4,
2306,0.0,80.425,80.425,96.0,1.891709829,10.0,218.0,10.0,4,
2348,0.0,101.5999999,101.5999999,211.85,648.0268661,42.99999993,24568.04297,42.99999993,4,
2404,0.0,883.5,883.5,1497.0,32.24889327,137.5,1234.0,137.5,4,
2473,0.0,27.8,38.299375,27.8,0.80320095,3.984619,21.9,3.984619,4,
2483,0.0,21.4,26.65,21.4,0.35959074,1.8,26.9,1.8,4,
2493,0.0,9.932083355,11.06875,9.932083355,0.169908262,0.9,23.0,0.9,4,
2501,0.0,58.0525,102.739375,58.0525,2.399568198,6.705,2212.04,6.705,4,
2506,0.0,36.345,39.0454375,36.345,0.531796115,3.0,155.0,3.0,4,
2519,0.0,2.4,3.25,2.4,0.032442538,0.1,3.2,0.1,4,
2526,0.0,37.7,41.08750012,37.7,0.763329691,5.041667,36.0,5.041667,4,
2559,0.0,6940.0,11051.75,6940.0,630.1366583,5080.0,7590.0,5080.0,4,
2568,0.0,802.0,1101.5,802.0,19.27545161,93.0,880.0,93.0,4,
2603,0.0,7.5,9.75,7.5,0.125271463,0.7,7.5,0.7,4,
2604,0.0,7.0,8.995,7.0,0.13187113,0.71,7.02,0.71,4,
2605,0.0,13.5,17.145,13.5,0.26791171,1.42,15.96,1.42,4,
2619,0.0,3.0,3.661648513,3.0,0.067957354,0.33,11.0,0.33,4,
2631,0.0,37.9436744,57.91317885,37.9436744,1.869560385,8.57623884,37.4,8.57623884,4,
2725,0.0,966907.0,1037982.5,966907.0,630.2870275,1096.0,544370.0,1096.0,4,
2726,0.0,131.0,170.69375,131.0,4.378744359,20.0,115.0,20.0,4,
2727,0.0,10.78255588,10.78255588,11.0,0.488960805,3.0,18.0,3.0,4,
2735,0.0,29.0,43.5,29.0,0.832078065,4.0,29.0,4.0,4,
2736,0.0,8.0,12.25701675,8.0,0.564084487,3.3443916,11.8,3.3443916,4,
2737,0.0,11.0,14.5215,11.0,0.289953831,1.3735,14.0,1.3735,4,
2739,0.0,19.0,19.0,27.0,0.447984985,2.0,41.0,2.0,4,
2743,0.0,7.0,9.8870075,7.0,0.472560302,3.0,10.0,3.0,4,
2744,0.0,19.0,23.0,19.0,0.759159443,4.0,18.0,4.0,4,
2753,0.0,130.98125,130.98125,154.0,3.683734685,16.0,254.0,16.0,4,
2770,0.0,44.9,51.2,44.9,1.047053921,4.38,68.0,4.38,4,
2771,0.0,51.2,66.26126148,51.2,1.190910296,4.959873895,67.5,4.959873895,4,
2772,0.0,8.06,10.425,8.06,0.347480884,2.067083,10.66512352,2.067083,4,
2774,0.0,19.0,23.27517018,19.0,1.340757449,2.299596572,2065.1001,2.299596572,4,
2775,0.0,71.89,96.96755822,71.89,1.687411304,6.944635879,75.625,6.944635879,4,
2776,0.0,52.0,61.36877319,52.0,0.904785464,3.8,55.0,3.8,4,
2778,0.0,104.6350168,118.6034467,104.6350168,2.168111155,8.455669072,463.4375,8.455669072,4,
2779,0.0,47.94469788,73.27103399,47.94469788,1.412378148,6.0,67.62021369,6.0,4,
2785,0.0,147.9750125,147.9750125,383.0,8.252427876,35.0,470.0,35.0,4,
